over_number,comm,score,match,year,batsman_bowler,bowler,batsman,innings_no,runs,batting_team,bowling_team,result,event
19.6,"Chris Morris to Axar, 1 run, widish yorker outside off stump, Axar digs it out towards mid-off",172.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Axar,Chris Morris , Axar,1,1.0,ind,rsa,1,runs
19.5,"Chris Morris to Bhuvneshwar, 3 runs, full toss, flicked to square leg, oh Dala fumbles and gifts a couple of extra runs",171.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Bhuvneshwar,Chris Morris , Bhuvneshwar,1,3.0,ind,rsa,1,runs
19.4,"Chris Morris to Karthik, <b>out</b> Lbw!! Karthik walks across and misses this inswinging yorker, wanted to flick, but got hit on the back leg, hit the boot in line with off stump. Karthik decided to review, but he knew he was gone, so marched off and waited near the boundary. HawkEye shows that the ball would have crashed into off stump. <b>Karthik lbw b Chris Morris 13(6) [4s-3]</b>",168.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,0.0,ind,rsa,1,out
19.4,"Chris Morris to Karthik, <b>wide</b>, another one down the leg-side",168.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,1.0,ind,rsa,1,runs
19.3,"Chris Morris to Karthik, <b>FOUR</b>, low full toss and Karthik gets a fine little tickle on it to beat the keeper. Morris missed the inswinging yorker there",167.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,4.0,ind,rsa,1,runs
19.2,"Chris Morris to Hardik Pandya, <b>out</b> Caught by Klaasen!! Now then, how did that ball take the leading edge? Pandya was making room, Morris followed him with a full ball, Pandya flicked awkwardly on one leg, the ball took the leading edge and went towards point, the keeper called for it. <b>Hardik Pandya c Klaasen b Chris Morris 21(17) [6s-1]</b>",163.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Hardik Pandya,Chris Morris , Hardik Pandya,1,0.0,ind,rsa,1,out
19.1,"Chris Morris to Karthik, leg byes, 1 run, oh dear! He's tried to reverse sweep this past point, but missed and got hit on the boot. Clever from Morris to follow Karthik as the batsman backed away",163.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,1.0,ind,rsa,1,runs
18.6,"Junior Dala to Karthik, 1 run, pulled away nicely, but there's protection in the deep, Karthik wanted two, but Hardik Pandya spots him",162.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Karthik,Junior Dala , Karthik,1,1.0,ind,rsa,1,runs
18.5,"Junior Dala to Karthik, <b>FOUR</b>, this is excellent batting. Long-off was called inside, Karthik spotted that, expected Dala to bowl full and wide, lofts the drive over mid-off and it's another boundary",161.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Karthik,Junior Dala , Karthik,1,4.0,ind,rsa,1,runs
18.4,"Junior Dala to Karthik, <b>FOUR</b>, oh my word! What a shot first up! That gets the dug out going. Karthik walks across the stumps, Junior Dala tries to cramp him for room with a short of length delivery, but Karthik manages to open the bat face at the last moment and guide it past backward point, there is no one at third man",157.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Karthik,Junior Dala , Karthik,1,4.0,ind,rsa,1,runs
18.3,"Junior Dala to Hardik Pandya, 1 run, full and outside off stump, Pandya reaches out and drives it to deep extra-cover",153.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Hardik Pandya,Junior Dala , Hardik Pandya,1,1.0,ind,rsa,1,runs
18.3,"Junior Dala to Hardik Pandya, <b>wide</b>, that's way outside off stump, left alone",152.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Hardik Pandya,Junior Dala , Hardik Pandya,1,1.0,ind,rsa,1,runs
18.2,"Junior Dala to Dhoni, <b>out</b> Caught by Miller!! There's more height on this than distance and Miller has another one on the rope. Short of a length delivery outside off stump, Dhoni stayed leg-side of the ball and tried to muscle it over long-off, but looks like it flew off the bottom of the bat. Easy chance by Miller's standards. Dala has three. In fact, the replay suggests that Dhoni's bat turned in his hands on making contact with the ball. <b>Dhoni c Miller b Junior Dala 12(11) [4s-1]</b>",151.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhoni,Junior Dala , Dhoni,1,0.0,ind,rsa,1,out
18.1,"Junior Dala to Dhoni, <b>FOUR</b>, low full toss, inside edge and that's so cruel for the bowler, fine leg is inside the ring and he concedes a boundary despite outsmarting the batsman. Dhoni wanted to hit that over cover",151.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhoni,Junior Dala , Dhoni,1,4.0,ind,rsa,1,runs
17.6,"Chris Morris to Dhoni, 1 run, Morris cramps the advancing Dhoni with a short of length delivery, wristed to backward square leg",147.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,1.0,ind,rsa,1,runs
17.5,"Chris Morris to Dhoni, no run, short ball and Dhoni was beaten for pace, nowhere close to playing the pull, Dhoni reckons it was above his head and asks the umpire if it was a wide for height",146.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,0.0,ind,rsa,1,runs
17.4,"Chris Morris to Hardik Pandya, 1 run, Pandya swings hard again, mistimed slog goes into the on-side",146.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Hardik Pandya,Chris Morris , Hardik Pandya,1,1.0,ind,rsa,1,runs
17.3,"Chris Morris to Hardik Pandya, <b>SIX</b>, he's hit this alright. Missed out on a full toss previous over, now he goes hard at it and hits it over long-on. Much needed maximum for India. Morris missed the yorker and bowled an easy ball for Pandya to free his arms",145.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Hardik Pandya,Chris Morris , Hardik Pandya,1,6.0,ind,rsa,1,runs
17.2,"Chris Morris to Dhoni, 1 run, now he steps out and slogs, hit along the ground to deep mid-wicket",139.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,1.0,ind,rsa,1,runs
